run_id,robot_id,t_laptop,source_stamp,x,y,theta
run_001,duck2,83616.016049070,83615.981505062,1.770058838,2.426129883,-0.271193196
run_001,duck2,83616.049490065,83616.014885905,1.770062988,2.426117188,-0.271218724
run_001,duck2,83616.082908563,83616.056467745,1.770047974,2.426122559,-0.271287169
run_001,duck2,83616.116301440,83616.089937773,1.770075195,2.426111084,-0.271368859
run_001,duck2,83616.149769453,83616.123781493,1.770028931,2.426158203,-0.271274069
run_001,duck2,83616.183159446,83616.156828883,1.770043579,2.426125000,-0.271384782
run_001,duck2,83616.216527477,83616.18994186,1.770067627,2.426107666,-0.271119223
run_001,duck2,83616.250058854,83616.223075539,1.770074219,2.426129150,-0.271154177
run_001,duck2,83616.283487218,83616.257878067,1.770069580,2.426110352,-0.271108719
run_001,duck2,83616.316909033,83616.29205724,1.770066528,2.426114258,-0.271095159
run_001,duck2,83616.350311902,83616.323778837,1.770015137,2.426160889,-0.271631508
run_001,duck2,83616.383743420,83616.356643459,1.770040161,2.426144775,-0.271217852
run_001,duck2,83616.417170902,83616.389804781,1.770055420,2.426110840,-0.271073001
run_001,duck2,83616.450619945,83616.425425255,1.770077271,2.426101807,-0.271128716
run_001,duck2,83616.484051910,83616.45715572,1.770070679,2.426108398,-0.271161046
run_001,duck2,83616.517441788,83616.498332233,1.770058594,2.426109131,-0.271359667
run_001,duck2,83616.550854727,83616.532275981,1.770069214,2.426098877,-0.271327431
run_001,duck2,83616.584268387,83616.564855001,1.770066772,2.426100830,-0.271062277
run_001,duck2,83616.617703928,83616.598719429,1.770059937,2.426104736,-0.271018291
run_001,duck2,83616.651171227,83616.632554381,1.770061401,2.426120117,-0.271359817
run_001,duck2,83616.684591145,83616.664705611,1.770059326,2.426115479,-0.271528236
run_001,duck2,83616.717993178,83616.697996051,1.770060425,2.426117188,-0.271114380
run_001,duck2,83616.751402542,83616.731732829,1.770073242,2.426106201,-0.271162409
run_001,duck2,83616.784829117,83616.765149884,1.770074829,2.426109619,-0.271317902
run_001,duck2,83616.818228545,83616.799690276,1.770046143,2.426106445,-0.271107373
run_001,duck2,83616.851656182,83616.831872198,1.770055542,2.426104492,-0.271272650
run_001,duck2,83616.885097377,83616.865123954,1.770052612,2.426088623,-0.271250106
run_001,duck2,83616.918455402,83616.898213668,1.770012085,2.426178223,-0.271652372
run_001,duck2,83616.951921164,83616.940173827,1.770033447,2.426139648,-0.271491668
run_001,duck2,83616.985305638,83616.974412821,1.770012085,2.426147705,-0.271532666
run_001,duck2,83617.018734086,83617.006815735,1.770015991,2.426186279,-0.271544308
run_001,duck2,83617.052154790,83617.03995817,1.770036133,2.426134277,-0.271370269
run_001,duck2,83617.085564888,83617.07392072,1.770046753,2.426099854,-0.271528361
run_001,duck2,83617.119017692,83617.106443181,1.770065552,2.426088867,-0.271249654
run_001,duck2,83617.152382555,83617.139731125,1.770028320,2.426098145,-0.271332138
run_001,duck2,83617.185809488,83617.173417692,1.770060547,2.426115234,-0.271246403
run_001,duck2,83617.219218851,83617.206546231,1.770011475,2.426140381,-0.271551188
run_001,duck2,83617.252641791,83617.240482038,1.770046753,2.426110107,-0.271417546
run_001,duck2,83617.286073775,83617.273889712,1.770050537,2.426093750,-0.271420502
run_001,duck2,83617.319526129,83617.306889877,1.770056519,2.426077637,-0.271409335
run_001,duck2,83617.352925115,83617.348184286,1.770059814,2.426110107,-0.270976209
run_001,duck2,83617.386316922,83617.381675725,1.770053345,2.426093262,-0.271210317
run_001,duck2,83617.453169632,83617.414925399,1.770048828,2.426091553,-0.271114760
run_001,duck2,83617.486626364,83617.448301681,1.770043213,2.426082275,-0.271267336
run_001,duck2,83617.520071173,83617.483049274,1.770044800,2.426093994,-0.271063329
run_001,duck2,83617.553464884,83617.515067417,1.770063232,2.426091553,-0.271082098
run_001,duck2,83617.586888001,83617.548952579,1.770046997,2.426095215,-0.270891227
run_001,duck2,83617.620275247,83617.589932014,1.770052368,2.426098145,-0.271010320
run_001,duck2,83617.653697606,83617.623607722,1.770066650,2.426105957,-0.271069686
run_001,duck2,83617.687149841,83617.656660427,1.770058105,2.426114258,-0.271062033
run_001,duck2,83617.720567928,83617.689828868,1.770037598,2.426100098,-0.271185325
run_001,duck2,83617.753987933,83617.723720141,1.770059814,2.426113037,-0.271184238
run_001,duck2,83617.787372016,83617.756452091,1.770059326,2.426102539,-0.270936461
run_001,duck2,83617.820771000,83617.790706649,1.770067383,2.426119385,-0.271205962
run_001,duck2,83617.854172706,83617.823063561,1.770046875,2.426095947,-0.271263083
run_001,duck2,83617.887595484,83617.856957711,1.770057861,2.426117188,-0.270945172
